Country,EffectiveDate,ModelYear,AlgCode,ChromeStyleId,IsPrimary
US,2022-07-01,2023,160350138,427721,1
US,2022-07-01,2023,160350141,427728,1
US,2022-07-01,2023,160350145,427722,1
US,2022-07-01,2023,160350147,427729,1
US,2022-07-01,2023,160350150,427723,1
US,2022-07-01,2023,160350155,427730,1
US,2022-07-01,2023,160350160,427724,1
US,2022-07-01,2023,160350165,427731,1
US,2022-07-01,2023,160405110,426941,1
US,2022-07-01,2023,160405115,426942,1
US,2022-07-01,2023,160405120,426943,1
US,2022-07-01,2023,160406110,426944,1
US,2022-07-01,2023,160406115,426945,1
US,2022-07-01,2023,160406120,426946,1
US,2022-07-01,2023,165467120,426865,1
US,2022-07-01,2023,165467130,426866,1
US,2022-07-01,2023,165467140,426868,1
US,2022-07-01,2023,165467150,426867,1
US,2022-07-01,2023,165468120,426869,1
US,2022-07-01,2023,165468130,426870,1
US,2022-07-01,2023,165468140,426872,1
US,2022-07-01,2023,165468150,426871,1
US,2022-07-01,2023,165518110,427044,1
US,2022-07-01,2023,165518113,427043,1
US,2022-07-01,2023,165518117,427045,1
US,2022-07-01,2023,165518120,427046,1
US,2022-07-01,2023,165518130,427047,1
US,2022-07-01,2023,165518135,427048,1
US,2022-07-01,2023,165518140,427049,1
US,2022-07-01,2023,165518142,427050,1
US,2022-07-01,2023,165519110,427052,1
US,2022-07-01,2023,165519113,427051,1
US,2022-07-01,2023,165519117,427053,1
US,2022-07-01,2023,165519120,427054,1
US,2022-07-01,2023,165519130,427055,1
US,2022-07-01,2023,165519135,427056,1
US,2022-07-01,2023,165519140,427057,1
US,2022-07-01,2023,165519150,427058,1
US,2022-07-01,2023,247115120,427675,1
US,2022-07-01,2023,247115130,427677,1
US,2022-07-01,2023,247115140,427676,1
US,2022-07-01,2023,247115150,427678,1
US,2022-07-01,2023,247146120,427635,1
US,2022-07-01,2023,247146130,427636,1
US,2022-07-01,2023,247150115,427666,1
US,2022-07-01,2023,247150120,427667,1
US,2022-07-01,2023,247150125,427668,1
US,2022-07-01,2023,260508108,427145,1
US,2022-07-01,2023,260508120,427146,1
US,2022-07-01,2023,260508140,427147,1
US,2022-07-01,2023,260511108,427148,1
US,2022-07-01,2023,260511120,427149,1
US,2022-07-01,2023,260511125,427150,1
US,2022-07-01,2023,260511140,427151,1
US,2022-07-01,2023,260512110,428102,1
US,2022-07-01,2023,260512130,428103,1
US,2022-07-01,2023,260512160,428104,1
